사고다발지fid,사고다발지id,위도,경도,소상공인수,유흥주점수,음주업소합계,카메라수,카메라없음,업소밀집,위험구간
6789501,2022051,35.537387495837,129.328128744747,224,113,337,2,False,True,False
6789581,2022051,35.545194643619,129.324555590769,26,2,28,1,False,False,False
6789470,2022051,35.503424063671,129.308616293708,0,0,0,1,False,False,False
6789461,2022051,35.539225978097,129.337656032101,187,91,278,2,False,True,False
6792351,2022051,35.540211232164,129.320251332934,27,0,27,0,True,False,False
6792362,2022051,35.535431129544,129.314408111146,62,38,100,2,False,False,False
6789562,2022051,35.538395497355,129.321092667594,68,0,68,2,False,False,False
6792340,2022051,35.532449840089,129.308826547109,63,34,97,2,False,False,False
6814721,2023018,35.503388178957,129.308604464767,0,0,0,1,False,False,False
6814843,2023018,35.545158761823,129.324543747708,26,2,28,1,False,False,False
6814847,2023018,35.5373516142,129.328116901681,221,111,332,2,False,True,False
6815021,2023018,35.539176649171,129.33852625262,152,75,227,2,False,False,False
6814919,2023018,35.534854520139,129.31438409424,63,37,100,2,False,False,False
6814895,2023018,35.53312500135,129.309492414175,73,42,115,1,False,False,False
6814888,2023018,35.541707472213,129.326230363641,87,34,121,2,False,False,False
6931096,2024049,35.537143172931,129.329024697222,245,131,376,2,False,True,False
6931021,2024049,35.539001412165,129.335235408301,275,146,421,0,True,True,True
6931239,2024049,35.544687500656,129.310656705045,141,48,189,0,True,False,False
6931155,2024049,35.534487263478,129.314226929306,74,40,114,2,False,False,False
6931060,2024049,35.538892159912,129.266197806001,1,0,1,2,False,False,False
6931098,2024049,35.545769327599,129.324646930756,22,1,23,1,False,False,False
6931258,2024049,35.536192160061,129.335303751153,247,114,361,0,True,True,True
6931097,2024049,35.532724005127,129.309180113155,69,37,106,2,False,False,False
7126746,2025085,35.538122692591,129.328540252202,225,125,350,2,False,True,False
7126814,2025085,35.53995009594,129.33923878654,109,63,172,2,False,False,False
7126646,2025085,35.538461130071,129.267004555167,0,0,0,2,False,False,False
7126659,2025085,35.5437468644,129.260033451483,37,6,43,0,True,False,False
